source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,lum_flame,radius_flame,spectraltype_esphs,classprob_dsc_combmod_star,best_class_name,best_class_score
1327654969076730880,14.669113,17.04788,13.287445,3.760435,-4.6993303,2.0837712,NOT_AVAILABLE,0,,,,,M,0.99999756,,
1328078796458810240,10.566055,11.735893,9.490576,2.2453175,-73.71515,0.19627416,NOT_AVAILABLE,0,,,,,M,0.99296397,,
1328866562170960384,6.4382195,6.743037,5.96131,0.7817273,-14.8669,0.16568811,NOT_AVAILABLE,0,5750.398,4.3923,1.0197412,1.0174663,G,1.0000273E-6,,
1328866562170960512,5.4312882,5.7519083,4.946602,0.80530643,,,NOT_AVAILABLE,0,5625.2656,4.0933,2.6422465,1.7114319,G,0.99952716,,
1329426832064755200,15.139282,17.513443,13.757042,3.756401,1.7814126,3.7695267,NOT_AVAILABLE,0,,,,,M,0.9999979,,
1329942262499164544,19.598196,21.62729,18.009287,3.6180038,,,NOT_AVAILABLE,0,,,,,,0.9999956,,
1331106782752978688,13.783075,13.848143,13.660725,0.18741798,,,NOT_AVAILABLE,0,,,,,B,4.9933235E-5,,
1332966881549315456,12.927332,15.092967,11.573926,3.519041,-21.98739,34.530598,NOT_AVAILABLE,0,2915.1675,5.0604,0.0027049317,0.20380265,M,0.99999696,,
1333760419707327744,5.2098746,5.5371356,4.716525,0.8206105,-78.53637,0.12254109,NOT_AVAILABLE,0,5630.0605,4.284,1.3346932,1.2142174,G,0.99914616,,
1334160263982413696,18.524582,20.94414,16.913797,4.030342,,,NOT_AVAILABLE,0,,,,,,0.99999875,,
1335880415564253312,6.377123,6.6885324,5.895476,0.7930565,-51.58522,0.12479305,NOT_AVAILABLE,0,5755.445,4.2861,1.2110113,1.1067983,G,0.9976672,,
1337270885456433280,12.108676,13.533583,10.937096,2.596487,2.4981978,0.31293678,NOT_AVAILABLE,0,3099.5945,4.2977,0.011569033,0.3738639,M,0.9976672,,
1341113541156480768,10.420489,11.85787,9.238903,2.618967,-44.592274,0.21233211,NOT_AVAILABLE,0,3197.2703,4.1525,0.016943906,0.4225771,M,1.0000273E-6,,
1341396287443528192,12.647116,14.080097,11.443796,2.636301,29.320124,1.0367212,NOT_AVAILABLE,0,,,,,M,0.99296397,,
1341903196662424320,20.200356,21.010082,18.589605,2.420477,,,NOT_AVAILABLE,0,,,,,,0.999996,,
1341903196663707904,14.206392,16.074696,12.921378,3.1533175,,,NOT_AVAILABLE,0,3053.0544,5.1446,0.0021365404,0.16522285,M,0.9995907,,
1347429376465152384,14.910426,16.74022,13.208589,3.5316305,,,NOT_AVAILABLE,0,,,,,M,0.9999902,,
1348028919540189056,10.346038,11.641499,9.217388,2.4241104,-19.928562,0.21231857,NOT_AVAILABLE,0,,,,,M,0.9982583,,
1349047857580994560,9.450096,10.72628,8.328486,2.3977938,-14.531079,0.13958146,VARIABLE,0,3275.029,4.3702,0.02613702,0.50246006,M,0.9982583,SOLAR_LIKE,0.06465172
1350714133093019904,10.570074,11.951392,9.411464,2.5399284,-31.489288,0.16480061,NOT_AVAILABLE,0,3145.5625,4.1782,0.02203195,0.49987933,M,1.0000273E-6,,
1351764475935262720,14.307425,16.280611,12.99727,3.2833414,5.718456,2.650813,NOT_AVAILABLE,0,3010.4126,5.1057,0.0024870734,0.1833495,M,0.99996364,,
1352483797057853440,9.208906,9.948848,8.3757305,1.5731173,20.617233,0.14169759,NOT_AVAILABLE,0,,,,,K,0.99948806,,
1354166805762941184,9.555,10.360354,8.668249,1.6921053,7.9586368,0.14354464,NOT_AVAILABLE,0,,,,,K,0.99296397,,
1355264565043431040,10.453175,12.083977,9.2067175,2.8772593,-21.998207,12.654747,NOT_AVAILABLE,0,,,,,M,0.9976672,,
